pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
138.595,-98.47,180.0,top,C201,,,0402_1005Metric,1u,smt
141.295,-98.47,0.0,top,C202,,,0402_1005Metric,1u,smt
148.02,-99.77,-90.0,top,C203,,,0402_1005Metric,1u,smt
153.72,-99.87,90.0,top,C204,,,0402_1005Metric,1u,smt
156.9375,-85.08,0.0,top,C301,,,0402_1005Metric,1u,smt
138.765,-76.99,0.0,top,C401,,,0201_0603Metric,12pF,smt
138.75,-75.12,0.0,top,C402,,,0201_0603Metric,12pF,smt
137.615,-79.17,0.0,top,C403,,,0201_0603Metric,15pF,smt
137.57,-78.09,0.0,top,C404,,,0201_0603Metric,15pF,smt
141.13,-80.45,90.0,top,C405,,,0201_0603Metric,0.1uF,smt
145.43,-87.675,0.0,top,C406,,,0201_0603Metric,0.1uF,smt
151.83,-87.675,0.0,top,C407,,,0201_0603Metric,0.1uF,smt
155.73,-76.875,90.0,top,C408,,,0201_0603Metric,0.1uF,smt
144.93,-73.2,180.0,top,C409,,,0201_0603Metric,0.1uF,smt
141.13,-82.475,-90.0,top,C410,,,0201_0603Metric,0.1uF,smt
144.08,-100.73,0.0,bottom,D201,,,D_SOD-523,ESD5Z6.0T1G,smt
158.9675,-97.1,180.0,top,D301,,,D_SOD-523,RB520S30T1G,smt
146.37,-106.795,180.0,bottom,J201,,,GCT_USB4730-GF-A,USB4730,tht
156.78,-97.01,-90.0,bottom,J202,,,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,Conn_01x02_Pin,smt
133.39,-82.42,180.0,bottom,J301,,,PinHeader_1x08_P2.54mm_Vertical,~,tht
160.96,-80.0,180.0,bottom,J401,,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05_Pin,tht
158.895,-100.87,180.0,top,LS301,,,PUI_SMT-0540-T-9-R,PUI_SMT-0540-T-9-R,smt
146.88,-90.9,0.0,top,N301,,,1_69inch-lcd-module,Display,smt
157.1,-95.381,180.0,top,Q301,,,TOS_T2N7002AK,TOS_T2N7002AK_LM,smt
136.995,-101.045,-90.0,top,R201,,,0201_0603Metric,953R,smt
137.895,-101.045,-90.0,top,R202,,,0201_0603Metric,10k,smt
142.295,-100.545,-90.0,top,R203,,,0201_0603Metric,61k9,smt
146.92,-100.195,-90.0,top,R204,,,0201_0603Metric,10k,smt
154.57,-88.84,0.0,top,R301,,,0201_0603Metric,10k,smt
154.53,-86.51,0.0,top,R302,,,0201_0603Metric,10k,smt
157.26,-93.035,90.0,top,R303,,,0201_0603Metric,1k,smt
158.08,-93.04,90.0,top,R304,,,0201_0603Metric,1k,smt
139.98,-81.725,0.0,top,R401,,,0201_0603Metric,22R,smt
138.95,-80.275,90.0,top,R402,,,0201_0603Metric,1.1k,smt
150.63,-87.9,-90.0,top,R403,,,0201_0603Metric,22R,smt
140.33,-80.45,90.0,top,R404,,,0201_0603Metric,10k,smt
140.095,-100.47,0.0,top,U201,,,TI_BQ25176MDSGR,TI_BQ25176MDSGR,smt
150.845001,-100.120002,0.0,top,U202,,,TI_TLV75533PDBVR,TLV75533PDBVR,smt
144.57,-100.395,0.0,top,U203,,,SOT-363_SC-70-6,LM66100DCK,smt
156.9625,-87.505,0.0,top,U301,,,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,LIS3DH,smt
148.38,-80.437,0.0,top,U401,,,ST_STM32L433RCT6,STM32L433RC,smt
140.43,-76.135,90.0,top,Y401,,,NKG_CR3_2012,32.768kHz,smt
139.38,-78.675,0.0,top,Y402,,,NKG_S1M_1612,24MHz,smt
